PRODUCT_ID,PRODUCT_DESC,Department_Cat,Section_Cat,Family_Cat,SubFamily_Cat,PROMO_MECHANIC,SUPPLIER_ID
1286005,PRODUCT_1286005,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1286008,PRODUCT_1286008,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1347845,PRODUCT_1347845,Department A,SECTION B,FAMILY C,SUBFAMILY E,BTGT,52
1160589,PRODUCT_1160589,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1286004,PRODUCT_1286004,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,144
1210829,PRODUCT_1210829,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,37
1352205,PRODUCT_1352205,Department B,SECTION C,FAMILY E,SUBFAMILY J,BTGT,874
1352226,PRODUCT_1352226,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,4225
1497372,PRODUCT_1497372,Department A,SECTION A,FAMILY A,SUBFAMILY B,null,646
1497358,PRODUCT_1497358,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1497359,PRODUCT_1497359,Department A,SECTION A,FAMILY B,SUBFAMILY D,null,144
1497360,PRODUCT_1497360,Department A,SECTION A,FAMILY B,SUBFAMILY D,null,144
1496081,PRODUCT_1496081,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,6513
1496083,PRODUCT_1496083,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,6513
1388016,PRODUCT_1388016,Department B,SECTION C,FAMILY F,SUBFAMILY L,Straight Discount,233
1132483,PRODUCT_1132483,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,166
934607,PRODUCT_934607,Department A,SECTION A,FAMILY A,SUBFAMILY B,Multiple,357
1124304,PRODUCT_1124304,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1106537,PRODUCT_1106537,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,144
1187953,PRODUCT_1187953,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,144
1314729,PRODUCT_1314729,Department A,SECTION A,FAMILY B,SUBFAMILY C,Straight Discount,692
1314730,PRODUCT_1314730,Department A,SECTION A,FAMILY B,SUBFAMILY C,Straight Discount,692
1314736,PRODUCT_1314736,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,38
1339624,PRODUCT_1339624,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1412186,PRODUCT_1412186,Department A,SECTION A,FAMILY B,SUBFAMILY D,null,37
1412543,PRODUCT_1412543,Department A,SECTION A,FAMILY B,SUBFAMILY D,BTGT,144
988638,PRODUCT_988638,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1403613,PRODUCT_1403613,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,646
1488347,PRODUCT_1488347,Department B,SECTION D,FAMILY G,SUBFAMILY M,null,666
731718,PRODUCT_731718,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,52
1186017,PRODUCT_1186017,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,367
307162,PRODUCT_307162,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,37
1316529,PRODUCT_1316529,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
1316532,PRODUCT_1316532,Department A,SECTION A,FAMILY B,SUBFAMILY D,BTGT,692
1316531,PRODUCT_1316531,Department A,SECTION A,FAMILY B,SUBFAMILY D,BTGT,692
1316528,PRODUCT_1316528,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
1291304,PRODUCT_1291304,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,4225
1286004,PRODUCT_1286004,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,144
